address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude,distance_to_central_station
Tjurbergsgatan 27C,5650000,4287.0,2023-04-03,76.5,3.0,1,0,0,1,0,0,0,0,1,0,59.3100953,18.0734024,2.9 km
Karlavägen 8,11800000,3775.0,2023-04-03,100.0,4.0,1,0,0,1,0,0,0,1,0,0,59.3442286,18.0647673,1.9 km
Artemisgatan 7,6600000,4147.0,2023-04-02,78.0,3.0,0,0,0,1,1,0,0,0,0,0,59.35449409999999,18.1009161,4.0 km
Kungsholms strand 143,3900000,2257.0,2023-04-02,53.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3373962,18.0303092,2.0 km
Ringvägen 129A,7000000,3452.0,2023-04-02,87.0,2.5,1,0,0,0,0,0,0,0,1,0,59.30829720000001,18.0782177,3.2 km
Bondegatan 24,3100000,1560.0,2023-04-02,27.0,1.0,1,0,0,1,0,0,0,0,1,0,59.312859,18.0796136,2.9 km
Tjurbergsgatan 27A,6100000,4287.0,2023-04-02,76.5,3.0,1,0,0,1,0,0,0,0,1,0,59.3099699,18.0729592,2.9 km
Götgatan 122 (ingång Ringvägen 111),7950000,4680.0,2023-04-02,99.0,5.0,1,0,0,1,0,0,0,0,1,0,59.3079599,18.0753538,3.2 km
Strålgatan 45,3300000,3039.0,2023-04-02,46.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3244387,18.0033127,4.0 km
Östgötagatan 87B,6650000,2558.0,2023-04-02,70.0,3.0,1,0,0,0,0,0,0,0,1,0,59.30857260000001,18.079621,3.2 km
Wollmar Yxkullsgatan 48B,4100000,2751.0,2023-04-02,40.0,2.0,0,0,0,0,0,0,0,0,1,0,59.31585690000001,18.0536598,2.7 km
John Ericssonsgatan 14,3050000,1224.0,2023-04-02,30.0,1.5,1,0,0,0,0,1,0,0,0,0,59.3290499,18.0380939,1.6 km
Folkungagatan 101,3800000,2156.0,2023-04-01,42.0,2.0,1,0,0,0,0,0,0,0,1,0,59.31570900000001,18.0844609,2.8 km
